ingredient_name,skin_type,concerns,label,label_int,confidence,reason,sensitivity_score,breadth_score,category
Caffeic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Cabbage Leaf Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Butyl Methoxydibenzoylmethane,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Blue Mallow Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Blue Lotus Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Blueberry Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Bilberry Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (5): category=UV Filter, sensitivity=2, desc signals=1",2,1,UV Filter
Bisabolol,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,5,Other
Bio-Active Glucosides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Chondrus Crispus,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Cholesterol,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Other
Chlorophyll,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Description strongly soothing/calming; low irritancy even without direct concern match [label adjusted for expert variance],0,0,Other
Chlorella Vulgaris Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Chamomile Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Plant Extract
Chlorella Protothecoides Oil,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Lipid/Oil
Ceramides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,5,Ceramide
Chlorella Protothecoides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Chemical UV Filters,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Oily skin,1,1,UV Filter
Caprooyl Sphingosine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Ceramide
Centella Asiatica,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Other
Carnosine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,1,Other
Caprooyl Phytosphingosine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Ceramide
Ectoin,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Other
Dunaliella Salina (Green Algae) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Dioic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Cucumber Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Dipeptide Diaminobutyroyl Benzylamide Diacetate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Dipeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Copper Peptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Copper Palmitoyl Heptapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Copper Heptapeptide-14 Pantothenate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Coffee Seed Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Citric Acid,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Oily skin,0,4,AHA
Cinnamon Bark,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,1,Other
Fomes Ofﬁcinalis (Mushroom) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Addresses 1 concern(s); low irritancy,0,3,Plant Extract
Ginkgo Biloba,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Fructooligosaccharides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Feverfew Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Ferulic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Vitamin
Ethylhexyl Triazone,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Ferric Hexapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Fernblock,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Other
Evening Primrose Oil,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Lipid/Oil
Essential Lipids,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Other
Endothelyol,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Ethylhexyl Salicylate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Moderate irritancy (2) — possible irritation for Oily skin [label adjusted for expert variance],2,1,Other
Ethyl Ascorbic Acid,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,1,4,Vitamin C
Green Tea,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Other
Glycosphingolipids,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Ceramide
Glycoproteins,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Other
Glycolipids,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Other
Golden-Eye Grass Complex,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,1,Other
Glycolic Acid,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (6): category=AHA, sensitivity=2, desc signals=2",2,8,AHA
Glycine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Amino Acid
Glyceryl Glucoside,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Other
Gluconolactone,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,9,Other
EGCG,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Description strongly soothing/calming; low irritancy even without direct concern match [label adjusted for expert variance],0,1,Other
Indian Gooseberry,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,1,Other
Hydroxypinacolone Retinoate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (6): category=Retinoid, sensitivity=3, desc signals=0",3,9,Retinoid
Hydrolyzed Pumpkin Seedcake,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,6,Other
Hydrolyzed F-Fucoidan,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Marine/Algae
Homosalate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Humectants,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Humectant
Hibiscus Fruit Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Horse Chestnut,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Heptapeptide-15 Palmitate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Guarana Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Histidine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Amino Acid
Lecithin,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,0,4,Lipid/Oil
L-Carnitine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Other
Lactobionic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,9,Other
L-Ascorbic Acid,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (7): category=Vitamin C, sensitivity=3, desc signals=3",3,5,Vitamin C
Laminaria Ochroleuca (Kelp) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Lactococcus Ferment Lysate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Lactic Acid,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=AHA, sensitivity=2, desc signals=0",2,8,AHA
Lactobacillus Ferment,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Lactobacillus Extract Filtrate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Jojoba Oil,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Lipid/Oil
Kola Seed Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Jeju Green Tea Water,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Plant Extract
Kojic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Isoleucine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Jojoba Beads,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Other
Macrocystis Pyrifera (Kelp) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Magnesium Sulfate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Mineral
Magnesium Ascorbyl Phosphate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=Vitamin C, sensitivity=1, desc signals=2",1,3,Vitamin C
Lysine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,6,Amino Acid
Lily Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Plant Extract
Luffa Cylindrica Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Plant Extract
Linolenic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Lipid/Oil
Linoleic Acid,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,0,4,Lipid/Oil
Leucine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,6,Amino Acid
Licorice Extract,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Description strongly soothing/calming; low irritancy even without direct concern match [label adjusted for expert variance],0,4,Plant Extract
Natural Moisturising Factors,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,5,Other
Licochalcone A,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Other
Naringenin Chalcone,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Other
Myristoyl Nonapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Myristol Pentapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Milk Thistle Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,2,Plant Extract
Myristol Hexapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Mushroom Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Moringa Seed Extract,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,5,Plant Extract
Marshmallow Root,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Other
Mineral UV Filters,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Oily skin,1,1,UV Filter
Meadowfoam Seed Oil,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,0,3,Lipid/Oil
Marine Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Marine/Algae
Mango Seed Butter,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,0,1,Lipid/Oil
Palmitoyl Oligopeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Mandelic Acid,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=AHA, sensitivity=2, desc signals=-1",2,8,AHA
Palmitoyl Nonapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Palmitoyl Pentapeptide,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Peptide
Palmitoyl Glycine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Amino Acid
Palmitoyl Heptapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Octocrylene,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,2,1,Other
Palmitoyl Decapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,3,Peptide
Oligopeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Padina Pavonica Thallus Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Oat Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,4,Plant Extract
Octisalate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Octinoxate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Polyhydroxy Acids,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,9,Other
Porphyridium Cruentum Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Plant Extract
Polyporus Umbellatus (Mushroom) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Plant Extract
Phytic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,3,Other
Plankton Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Perfluorodecalin,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,4,Other
Phytosphingosine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Ceramide
Phospholipids,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (2) — possible irritation for Oily skin,0,4,Lipid/Oil
Palmitoyl  Tripeptide-1,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Pentapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Palmitoyl Tetrapeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Parachlorella Beijerinckii Exopolysaccharides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Retinyl Retinoate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (7): category=Retinoid, sensitivity=3, desc signals=1",3,9,Retinoid
Palmitoyl Tripeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Neurophroline,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,5,Other
Retinyl Propionate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (6): category=Retinoid, sensitivity=3, desc signals=0",3,7,Retinoid
Retinyl Palmitate,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (5): category=Retinoid, sensitivity=2, desc signals=0",2,1,Retinoid
Retinol,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (6): category=Retinoid, sensitivity=3, desc signals=0",3,9,Retinoid
Resveratrol,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Other
Red Algae,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Marine/Algae
Quercetin,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Other
Pseudoalteromonas Exopolysaccharides,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Proline,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,5,Amino Acid
Potassium Azeloyl Diglycinate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,1,7,Other
Probiotics,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Prickly Pear Extract,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Description strongly soothing/calming; low irritancy even without direct concern match [label adjusted for expert variance],0,1,Plant Extract
Snow Mushroom Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,4,Plant Extract
Prebiotics,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Shea Butter,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,5,Directly flagged in avoid list for Oily skin and high irritancy (5),2,4,Lipid/Oil
Sesame Seed Oil,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Lipid/Oil
Silk Protein,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,1,1,Other
Sh-Oligopeptide,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Peptide
Serine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Sea Buckthorn Water,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,1,Plant Extract
Saskatoon Berry,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,0,Other
Salicylic Acid,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (6): category=BHA, sensitivity=4, desc signals=-1",4,8,BHA
Rosemary Leaf Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Safflower Seed Oil,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,5,Directly flagged in avoid list for Oily skin and high irritancy (3),1,3,Lipid/Oil
Saccharomyces Cerevisiae (Yeast) Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Probiotic/Ferment
Sacred Lotus Flower Extract,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,2,Gentle ingredient with no concern match; neutral fit [label adjusted for expert variance],0,4,Plant Extract
Tasmanian Pepperberry Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Tartaric Acid,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Oily skin,1,4,AHA
Rhamnose,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,3,Other
Sweet Almond Oil,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,4,Flagged in avoid list for Oily skin; ingredient is relatively mild,1,2,Lipid/Oil
Symsitive,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Description strongly soothing/calming; low irritancy even without direct concern match [label adjusted for expert variance],0,1,Other
Sugar Cane Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,5,Plant Extract
Superoxide Dismutase,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,0,Other
Sunflower Oil,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,4,Flagged in avoid list for Oily skin; ingredient is relatively mild,1,3,Lipid/Oil
Spent Grain Wax,Oily,"['Acne', 'Enlarged Pores']",possible irritation,1,3,Moderate irritancy (3) — possible irritation for Oily skin,0,2,Lipid/Oil
Sulfur,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 1 concern(s) and description confirms soothing profile,0,2,Mineral
Squalane,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,4,Lipid/Oil
Urea,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Humectant
Sodium Lactate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Humectant
Turmeric Root Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,1,Plant Extract
Valine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Trehalose,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Humectant
Tripleurospermum Maritimum Extract,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Description strongly soothing/calming; low irritancy even without direct concern match,0,3,Plant Extract
Triazine Diethyl Butamidotriazone,Oily,"['Acne', 'Enlarged Pores']",poor fit,2,4,"High combined irritancy score (4): category=UV Filter, sensitivity=2, desc signals=0",2,1,UV Filter
Thiamidol,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Other
Tranexamic Acid,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Other
Tomato Stem Cells,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,3,Plant Extract
Teprenone,Oily,"['Acne', 'Enlarged Pores']",good fit,0,3,Addresses 1 concern(s); low irritancy,0,5,Other
Threonine,Oily,"['Acne', 'Enlarged Pores']",good fit,0,2,Gentle ingredient with no concern match; neutral fit,0,2,Amino Acid
Zinc Gluconate,Oily,"['Acne', 'Enlarged Pores']",good fit,0,4,Directly addresses 2 concern(s) and description confirms soothing profile,0,4,Mineral
